产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
奶块,,,其他,网游,模拟经营
元气骑士,,,其他,网游,休闲益智
NBA LIVE,,,其他,网游,体育竞技
熹妃Q传,,,其他,网游,卡牌RPG
爱奇艺斗地主,,,其他,网游,棋牌
欢喜斗地主,,,其他,网游,棋牌
齐天战神-斗战胜佛,,,其他,网游,MMO
口袋抓娃娃,,,其他,网游,休闲益智
魔幻粒子,,,其他,网游,休闲益智
Last Day on Earth: Survival,,,其他,网游,模拟经营
Looper,,,其他,网游,休闲益智
山水云南麻将,,,其他,网游,棋牌
街机达人捕鱼,,,其他,单机弱联网,休闲益智
小闲川南棋牌,,,其他,网游,棋牌
欢乐捕鱼人,,,其他,网游,休闲益智
英雄枪战,,,其他,网游,枪战射击
途游五子棋,,,其他,网游,棋牌
电玩城捕鱼,,,其他,网游,休闲益智
战争与文明,,,其他,网游,COC类
叶罗丽精灵梦,,,其他,网游,模拟经营
贪吃蛇大战,,,其他,网游,休闲益智
僵尸榨汁机,,,其他,网游,休闲益智
登山赛车2,,,其他,单机弱联网,跑酷躲避
天天抓娃娃,,,其他,网游,休闲益智
玩呗斗牌,,,其他,网游,棋牌
怪物城堡,,,其他,网游,塔防
超级斗地主,,,波克,网游,棋牌
梦幻家园,,,其他,单机弱联网,消除
欢乐抓娃娃,,,其他,网游,休闲益智
不思议迷宫,,,其他,网游,休闲益智
小米枪战,吃鸡,,其他,网游,枪战射击
英雄战歌,,,腾讯,网游,对战卡牌类
闲逸碰胡,,,其他,网游,棋牌
九州天空城3D,,,其他,网游,MMO
苍穹变,,,其他,网游,MMO
战火与秩序,,,其他,网游,战争策略
大航海之路,,,网易,网游,MMO
圣斗士星矢-集结,,,其他,网游,MMO
火拼双扣,,,其他,网游,棋牌
传奇世界,,,腾讯,网游,MMO
皮皮斗地主,,,其他,网游,棋牌
多乐升级,,,其他,网游,棋牌
新欢乐斗地主,,,其他,网游,棋牌
欢乐真人麻将,,,其他,网游,棋牌
闲来广东麻将,,,其他,网游,棋牌
西元昆明棋牌,,,博雅,网游,棋牌
疯狂猜成语3,,,其他,单机弱联网,休闲益智
